Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,IDSInCA
06588100,06,06588,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,9 de Julio,Archivo Y Museo Histórico Gral. Julio De Vedia,Libertad 1191,,B6500EVL,2317,425 279,archivoymuseo@yahoo.com.ar,www.portaldel9.com.ar,-35.4417620,-60.8875980,Localización precisa,,DNPyM,Municipal,1920,300003
06077010,06,06077,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Arrecifes,Museo Y Archivo Histórico De Arrecifes,Gerardo Risso y España,,B2740FMJ,2478,452 931,museoarrecifes@hotmail.com,,-34.0669700,-60.1025550,Localización precisa,,DNPyM,Municipal,1972,300037
06035010,06,06035,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Histórico-Sacro  Hno. Rogelio Scortegagna,Calle 11 (Av. San Martín) Nº 830,,S3561AKT,3482,481 200,,,-29.1180240,-59.6545430,Localización precisa,,DNPyM,Municipal,,300041
06035010,06,06035,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Avellaneda,Museo Municipal De Artes Plásticas De Avellaneda,"Sarmiento 101, 1 º Piso",,B1870CBC,11,4205 9567,,,-34.6621100,-58.3632700,Localización precisa,,DNPyM,Municipal,1956,300042
06049020,06,06049,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Azul,Museo Etnográfico Y Archivo Histórico Enrique Squirru,Bartolomé J. Ronco 654,,B7300XAA,2281,434 811,museoazul@yahoo.com,,-36.7818240,-59.8586360,Localización precisa,,DNPyM,Privada,1949,300043
06056010,06,06056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Bellas Artes,Sarmiento 450,,B8000HQJ,291,459 4006,mac@bblanca.com.ar,,-38.7131000,-62.2622000,Localización precisa,,DNPyM,Municipal,1935,300044
06056010,06,06056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Ciencias,Castelli 3702,,B8003APV,291,488 3266,,,-38.6928000,-62.3087000,Localización precisa,,DNPyM,Municipal,1996,300045
06056010,06,06056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Parque Estereoscópico El Histórico Café Museo,Italia 19,,B8000DKA,291,451 0675,,,-38.7245270,-62.2737350,Localización precisa,,DNPyM,Privada,2006,300046
06056010,06,06056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo De Arte Contemporáneo,Sarmiento 450,,B8000HQJ,291,459 4006,mac@bblanca.com.ar,,-38.7131000,-62.2622000,Localización precisa,,DNPyM,Municipal,2008,300047
06056010,06,06056,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bahía Blanca,Museo Y Archivo Histórico Municipal,Dorrego 116 Sub Suelo,,B8000FLD,291,456 3117,,,-38.7152000,-62.2603000,Localización precisa,,DNPyM,Municipal,1951,300048
06063010,06,06063,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Juan Manuel Fangio,Dardo Rocha y Bartolomé Mitre,,B7620BGN,2266,425 540,fundfangio@telefax.com.ar,,-37.8505600,-58.2551920,Localización precisa,,DNPyM,Privada,1986,300049
06063010,06,06063,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Balcarce,Museo Histórico Municipal,32 y 35 Emplazado en el Cerro el Triunfo,,B7620CFA,2266,421 800,,,-37.8505600,-58.2551920,Localización precisa,,DNPyM,Municipal,2008,300050
06490010,06,06490,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Banfield,Museo De Artes Plásticas Pío Collivadino,Medrano 165,,B1828IPC,11,4202 5223,,,-34.7482000,-58.3946000,Localización precisa,,DNPyM,Nacional,1992,300052
06070010,06,06070,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Baradero,Museo Aeronáutico Baradero Vicente 'Tito' Churín,Jorge Newbery 1450,,B2942EXR,3329,481 689,aeroclub_baradero@hotmail.com,,-33.8176420,-59.4930800,Localización precisa,,DNPyM,Privada,1996,300053
06756010,06,06756,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Beccar,Museo Lucy Mattos,Av. Libertador 17426,,B1643CRO,11,4732 2585,,,-34.4589530,-58.5201810,Localización precisa,,DNPyM,Privada,2012,300057
06098010,06,06098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo De La Soda Y El Sifón,60 N° 768 / 128 (Rotonda),,B1924CKS,221,424 8537,,,-34.9016990,-57.9219880,Localización precisa,,DNPyM,Privada,,300064
06098010,06,06098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Asociación 1871 Museo De Berisso,Av. 32 Esq. Montevideo,,1923,221,461 3166,,,-34.8770620,-57.8563380,Localización precisa,,DNPyM,Privada,2012,300065
06098010,06,06098,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Berisso,Museo Ornitolólogico Municipal De Berisso,Montevideo 821,,B1923HMH,221,464 5574,,,-34.8687000,-57.8837000,Localización precisa,,DNPyM,Municipal,1986,300066
06658010,06,06658,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Bernal,Museo Municipal Histórico Regional Almirante Brown,25 de Mayo 198,,B1876AWD,11,4252 5508,,,-34.7123000,-58.2849000,Localización precisa,,DNPyM,Municipal,,300067
06028010,06,06028,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Burzaco,Museo Claudio León Sempere,Colón 581,,B1852BSE,11,4299 7279,,,-34.7918000,-58.3503000,Localización precisa,,DNPyM,Privada,1986,300070
06266020,06,06266,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo Del Periodismo Bonaerense,Rivadavia 477,,B2812DII,,,,,-34.2943050,-59.0985210,Localización precisa,,DNPyM,Municipal,1972,300083
06266020,06,06266,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Capilla del Señor,Museo De Arte Sacro Amalia Sosa Palacio De Carol,Bolívar 338,,B2812AVH,2323,492 981,,,-34.2954690,-59.1006590,Localización precisa,,DNPyM,Privada,2007,300084
06007010,06,06007,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carhue,Museo Regional Dr. Adolfo Alsina,Rivadavia y Laprida,,6430,2936,430 967,museocarhue@invertel.com.ar,,-37.1811840,-62.7616670,Localización precisa,,DNPyM,Municipal,1967,300092
06602030,06,06602,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Histórico Regional Emma Nozzi,J.J.Biedma 64,,B8504BVB,2920,462 729,,,-40.8032650,-62.9858050,Localización precisa,,DNPyM,Provincial,1951,300094
06602030,06,06602,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Carmen de Patagones,Museo Carmen De Patagones De La Prefectura Naval Argentina,Mitre 350,,B8504BUF,2920,461 742,,,-40.7995460,-62.9900960,Localización precisa,,DNPyM,Nacional,1998,300095
06840010,06,06840,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Caseros,Palacio San José - Museo Y Monumento Histórico Nacional Justo José De Urquiza,Ruta Provincial 39 Km. 128 (Desvio al Norte 3 Km.),,E3262AZR,3442,432 620,,,-32.4666940,-58.4780980,Localización precisa,,DNPyM,Nacional,1936,300099
06210020,06,06210,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chacabuco,Museo Y Archivo Histórico,Moreno 171,,B6740EGC,2352,426 699,,,-34.6409000,-60.4669000,Localización precisa,,DNPyM,Municipal,,300108
06357080,06,06357,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chapadmalal,Museo Unidad Turística Chapadmalal Eva Perón,Ruta Nº 11 Km 33.5 Hotel Nº 5.,,5857,223,469 9291,,,-38.1780510,-57.6513720,Localización precisa,,DNPyM,Nacional,,300114
06217010,06,06217,,Espacios de Exhibición Patrimonial,Museos,Buenos Aires,Chascomus,Museo Pampeano,Avda. Lastra y Muñiz,,B7130FRA,2241,430 982,,,-35.5779980,-58.0171130,Localización precisa,,DNPyM,Municipal,1941,300116
